% Model,HUR_model_weather_Jyvaskyla.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:31"
% Table,Table 4 - Line Average 3 (ht.alphaTdxx)
% Time (h),"Thermal diffusivity, xx component (m^2/s)"
539,9.926470588235297E-7
540,9.926470588235297E-7
541,9.926470588235297E-7
542,9.926470588235297E-7
543,9.926470588235297E-7
544,9.926470588235297E-7
545,9.926470588235297E-7
546,9.926470588235297E-7
547,9.926470588235297E-7
548,9.926470588235297E-7
549,9.926470588235297E-7
550,9.926470588235297E-7
551,9.926470588235297E-7
552,9.926470588235297E-7
553,9.926470588235297E-7
554,9.926470588235297E-7
555,9.926470588235297E-7
556,9.926470588235297E-7
557,9.926470588235297E-7
558,9.926470588235297E-7
559,9.926470588235297E-7
560,9.926470588235297E-7
561,9.926470588235297E-7
562,9.926470588235297E-7
563,9.926470588235297E-7
564,9.926470588235297E-7
565,9.926470588235297E-7
566,9.926470588235297E-7
567,9.926470588235297E-7
568,9.926470588235297E-7
569,9.926470588235297E-7
570,9.926470588235297E-7
571,9.926470588235297E-7
572,9.926470588235297E-7
573,9.926470588235297E-7
574,9.926470588235297E-7
575,9.926470588235297E-7
576,9.926470588235297E-7
577,9.926470588235297E-7
578,9.926470588235297E-7
579,9.926470588235297E-7
580,9.926470588235297E-7
581,9.926470588235297E-7
582,9.926470588235297E-7
583,9.926470588235297E-7
584,9.926470588235297E-7
585,9.926470588235297E-7
586,9.926470588235297E-7
587,9.926470588235297E-7
588,9.926470588235297E-7
589,9.926470588235297E-7
590,9.926470588235297E-7
591,9.926470588235297E-7
592,9.926470588235297E-7
593,9.926470588235297E-7
594,9.926470588235297E-7
595,9.926470588235297E-7
596,9.926470588235297E-7
597,9.926470588235297E-7
598,9.926470588235297E-7
599,9.926470588235297E-7
600,9.926470588235297E-7
601,9.926470588235297E-7
602,9.926470588235297E-7
603,9.926470588235297E-7
604,9.926470588235297E-7
605,9.926470588235297E-7
606,9.926470588235297E-7
607,9.926470588235297E-7
608,9.926470588235297E-7
609,9.926470588235297E-7
610,9.926470588235297E-7
611,9.926470588235297E-7
612,9.926470588235297E-7
613,9.926470588235297E-7
614,9.926470588235297E-7
615,9.926470588235297E-7
616,9.926470588235297E-7
617,9.926470588235297E-7
618,9.926470588235297E-7
619,9.926470588235297E-7
620,9.926470588235297E-7
621,9.926470588235297E-7
622,9.926470588235297E-7
623,9.926470588235297E-7
624,9.926470588235297E-7
625,9.926470588235297E-7
626,9.926470588235297E-7
627,9.926470588235297E-7
628,9.926470588235297E-7
629,9.926470588235297E-7
630,9.926470588235297E-7
631,9.926470588235297E-7
632,9.926470588235297E-7
633,9.926470588235297E-7
634,9.926470588235297E-7
635,9.926470588235297E-7
636,9.926470588235297E-7
637,9.926470588235297E-7
638,9.926470588235297E-7
639,9.926470588235297E-7
640,9.926470588235297E-7
641,9.926470588235297E-7
642,9.926470588235297E-7
643,9.926470588235297E-7
644,9.926470588235297E-7
645,9.926470588235297E-7
646,9.926470588235297E-7
647,9.926470588235297E-7
648,9.926470588235297E-7
649,9.926470588235297E-7
650,9.926470588235297E-7
651,9.926470588235297E-7
652,9.926470588235297E-7
653,9.926470588235297E-7
654,9.926470588235297E-7
655,9.926470588235297E-7
656,9.926470588235297E-7
657,9.926470588235297E-7
658,9.926470588235297E-7
659,9.926470588235297E-7
660,9.926470588235297E-7
661,9.926470588235297E-7
662,9.926470588235297E-7
663,9.926470588235297E-7
664,9.926470588235297E-7
665,9.926470588235297E-7
666,9.926470588235297E-7
667,9.926470588235297E-7
668,9.926470588235297E-7
669,9.926470588235297E-7
670,9.926470588235297E-7
671,9.926470588235297E-7
672,9.926470588235297E-7
673,9.926470588235297E-7
674,9.926470588235297E-7
675,9.926470588235297E-7
676,9.926470588235297E-7
677,9.926470588235297E-7
678,9.926470588235297E-7
679,9.926470588235297E-7
680,9.926470588235297E-7
681,9.926470588235297E-7
682,9.926470588235297E-7
683,9.926470588235297E-7
684,9.926470588235297E-7
685,9.926470588235297E-7
686,9.926470588235297E-7
687,9.926470588235297E-7
688,9.926470588235297E-7
689,9.926470588235297E-7
690,9.926470588235297E-7
691,9.926470588235297E-7
692,9.926470588235297E-7
693,9.926470588235297E-7
694,9.926470588235297E-7
695,9.926470588235297E-7
696,9.926470588235297E-7
697,9.926470588235297E-7
698,9.926470588235297E-7
699,9.926470588235297E-7
700,9.926470588235297E-7
701,9.926470588235297E-7
702,9.926470588235297E-7
703,9.926470588235297E-7
704,9.926470588235297E-7
705,9.926470588235297E-7
706,9.926470588235297E-7
707,9.926470588235297E-7
708,9.926470588235297E-7
709,9.926470588235297E-7
710,9.926470588235297E-7
711,9.926470588235297E-7
712,9.926470588235297E-7
713,9.926470588235297E-7
714,9.926470588235297E-7
715,9.926470588235297E-7
716,9.926470588235297E-7
717,9.926470588235297E-7
718,9.926470588235297E-7
719,9.926470588235297E-7
720,9.926470588235297E-7
721,9.926470588235297E-7
722,9.926470588235297E-7
723,9.926470588235297E-7
724,9.926470588235297E-7
725,9.926470588235297E-7
726,9.926470588235297E-7
727,9.926470588235297E-7
728,9.926470588235297E-7
729,9.926470588235297E-7
730,9.926470588235297E-7
731,9.926470588235297E-7
732,9.926470588235297E-7
733,9.926470588235297E-7
734,9.926470588235297E-7
735,9.926470588235297E-7
736,9.926470588235297E-7
737,9.926470588235297E-7
738,9.926470588235297E-7
739,9.926470588235297E-7
740,9.926470588235297E-7
741,9.926470588235297E-7
742,9.926470588235297E-7
743,9.926470588235297E-7
744,9.926470588235297E-7
745,9.926470588235297E-7
746,9.926470588235297E-7
747,9.926470588235297E-7
748,9.926470588235297E-7
749,9.926470588235297E-7
750,9.926470588235297E-7
751,9.926470588235297E-7
752,9.926470588235297E-7
753,9.926470588235297E-7
754,9.926470588235297E-7
755,9.926470588235297E-7
756,9.926470588235297E-7
757,9.926470588235297E-7
758,9.926470588235297E-7
759,9.926470588235297E-7
760,9.926470588235297E-7
761,9.926470588235297E-7
762,9.926470588235297E-7
763,9.926470588235297E-7
764,9.926470588235297E-7
765,9.926470588235297E-7
766,9.926470588235297E-7
767,9.926470588235297E-7
768,9.926470588235297E-7
769,9.926470588235297E-7
770,9.926470588235297E-7
771,9.926470588235297E-7
772,9.926470588235297E-7
773,9.926470588235297E-7
774,9.926470588235297E-7
775,9.926470588235297E-7
776,9.926470588235297E-7
777,9.926470588235297E-7
778,9.926470588235297E-7
779,9.926470588235297E-7
780,9.926470588235297E-7
781,9.926470588235297E-7
782,9.926470588235297E-7
783,9.926470588235297E-7
784,9.926470588235297E-7
785,9.926470588235297E-7
786,9.926470588235297E-7
787,9.926470588235297E-7
788,9.926470588235297E-7
789,9.926470588235297E-7
790,9.926470588235297E-7
791,9.926470588235297E-7
792,9.926470588235297E-7
793,9.926470588235297E-7
794,9.926470588235297E-7
795,9.926470588235297E-7
796,9.926470588235297E-7
797,9.926470588235297E-7
798,9.926470588235297E-7
799,9.926470588235297E-7
800,9.926470588235297E-7
801,9.926470588235297E-7
802,9.926470588235297E-7
803,9.926470588235297E-7
804,9.926470588235297E-7
805,9.926470588235297E-7
806,9.926470588235297E-7
807,9.926470588235297E-7
808,9.926470588235297E-7
809,9.926470588235297E-7
810,9.926470588235297E-7
811,9.926470588235297E-7
812,9.926470588235297E-7
813,9.926470588235297E-7
814,9.926470588235297E-7
815,9.926470588235297E-7
816,9.926470588235297E-7
817,9.926470588235297E-7
818,9.926470588235297E-7
819,9.926470588235297E-7
820,9.926470588235297E-7
821,9.926470588235297E-7
822,9.926470588235297E-7
823,9.926470588235297E-7
